병원이름,병원주소,일(6/4),토(6/3),수,목(6/8),화(6/6),일,매일,월,화,수(6/7),전화번호,금(6/2),토,병원종류,월(6/5),목,금
메디스치과의원 경성대,부산 남구 수영로 295 세웅빌딩 4층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1315-7475,,10:00 - 14:00,치과,휴무,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
바른얼굴덕치과의원,부산 남구 수영로 261 제401동 208호~209호,,,10:00 - 14:00,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-623-2080,,10:00 - 14:00,치과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
부산고려병원,부산 남구 수영로 238 고려병원,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 13:30 휴게시간",,,0507-1373-3005,,09:00 - 13:00,정형외과,,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간"
블리비의원 부산경성대점,부산 남구 수영로 300 10층,,,"10:00 - 20:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 20:00
13:00 - 14:00 휴게시간",,,1833-9179,,10:00 - 15:00,피부과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간"
미래이비인후과의원,부산 남구 분포로 115 힐탑탑플레이스 A동 302호,,,09:00 - 12:10,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:15 - 14:00 휴게시간",,,051-623-7535,,09:00 - 13:00,이비인후과,,"09:00 - 18:00
12:15 - 14:00 휴게시간","09:00 - 18:00
12:15 - 14:00 휴게시간"
다솜의원,부산 남구 전포대로91번길 47 이마트 3층,,,"10:00 - 20:30
13:00 - 14:30 휴게시간",,현충일10:00 - 20:30,"10:00 - 20:30
13:00 - 14:30 휴게시간",,"10:00 - 20:30
13:00 - 14:30 휴게시간",,,051-637-7855,,"10:00 - 20:30
13:00 - 14:30 휴게시간",내과,,"10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간"
부산성소병원,부산 남구 수영로 175 SMG빌딩 부산성소병원,,,09:00 - 18:00,,,정보없음,,09:00 - 18:00,09:00 - 18:00,,051-633-1123,,09:00 - 13:00,"병원,의원",,"09:00 - 18:00
접기",09:00 - 18:00
더퍼스트피부과의원,부산 남구 수영로 299 루미너스타워 3층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,0507-1309-7099,,09:00 - 14:00,피부과,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간"
아름다운피부과의원,"부산 남구 분포로 115 A동 201-1호, 202호",,,10:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,10:00 - 18:30,,,051-863-0075,,10:00 - 14:00,피부과,,10:00 - 18:30,10:00 - 18:30
신봉식이비인후과의원,부산 남구 수영로 340 플러스빌딩 3층,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-623-7337,,"09:00 - 15:00
13:00 - 14:00 휴게시간",이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
바른이비인후과의원,부산 남구 수영로 323 태강프라자 6층,,,"09:00 - 18:40
12:40 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:40
12:40 - 14:00 휴게시간",,,0507-1400-8558,,"09:00 - 15:00
12:40 - 14:00 휴게시간",이비인후과,,"09:00 - 18:40
12:40 - 14:00 휴게시간","09:00 - 18:40
12:40 - 14:00 휴게시간"
W365메디컬의원,부산 남구 분포로 145,,,09:00 - 20:00,,현충일09:00 - 16:00,09:00 - 16:00,,09:00 - 20:00,,,0507-1395-0365,,09:00 - 16:00,이비인후과,,"09:00 - 20:00
접기",09:00 - 20:00
닥터안치과의원,부산 남구 용주로6번길 30 2층,,,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,,0507-1465-1067,,"09:30 - 13:00
12:30 접수마감",치과,,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감"
남구보건소,부산 남구 못골로 23,,,09:00 - 18:00,,현충일 휴무,정보없음,,09:00 - 18:00,,,051-607-6460,,정보없음,보건소,,09:00 - 18:00,09:00 - 18:00
코끼리소아청소년과의원,부산 남구 진남로127번길 8,,,14:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-633-8200,휴무,09:00 - 13:00,소아청소년과,,"09:00 - 18:00
12:30 - 14:00 휴게시간",
부산성모병원,부산 남구 용호로232번길 25-14 부산성모병원,,,"08:30 - 17:30
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 17:30
12:30 - 13:30 휴게시간",,,051-933-7114,,08:30 - 12:30,종합병원,,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간"
부산아동병원,부산 남구 수영로 228,,,"09:30 - 20:00
13:00 - 14:00 휴게시간",,현충일09:30 - 13:00,09:30 - 13:00,,"09:30 - 20:00
13:00 - 14:00 휴게시간",,,051-612-7582,,09:30 - 13:00,소아청소년과,,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간"
진내과의원,부산 남구 수영로 340 2층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",,,051-627-0360,,"09:00 - 13:00
12:45 접수마감",내과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감"
클린앤뷰티의원,부산 남구 수영로 304 대승타워 5층,,,10:00 - 20:00,,현충일 휴무,정기휴무 (매주 일요일),,10:00 - 20:00,,,0507-1329-7746,,10:00 - 15:30,피부과,,10:00 - 18:30,10:00 - 20:00
세종의원,부산 남구 수영로 30-1,,,09:00 - 20:00,,현충일09:00 - 16:00,09:00 - 13:00,,09:00 - 20:00,,,051-642-9977,,09:00 - 16:00,내과,,"09:00 - 20:00
접기",09:00 - 20:00
김계영내과소아청소년과의원,부산 남구 수영로 252 김계영내과,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-627-7000,,09:00 - 13:00,소아청소년과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
아산김의원,부산 남구 황령대로319번가길 158-4,휴무,휴무,09:00 - 12:30,,휴무,,,,,,051-626-8835,휴무,,가정의학과,휴무,"09:00 - 18:30
12:30 - 13:30 휴게시간",
소생한의원,부산 남구 용호로 127 서현빌딩 1층 소생한의원,,,09:00 - 19:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 19:00,,,0507-1480-1041,,09:00 - 13:00,한의원,,09:00 - 19:00,09:00 - 19:00
편한숲 정신건강의학과 의원,부산 남구 수영로 323 403호,,,14:00 - 20:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1321-0241,,09:00 - 13:00,정신건강의학과,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
코앤핑이비인후과의원,부산 남구 못골로 87 2층,,,"08:30 - 18:30
13:00 - 14:00 휴게시간",,현충일09:00 - 13:00,09:00 - 13:00,,"08:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1394-1003,,08:30 - 14:00,이비인후과,,"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 20:00
13:00 - 14:00 휴게시간"
명이비인후과의원,부산 남구 못골로12번길 84,,,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감",,,051-612-7119,,"09:00 - 12:30
12:00 접수마감",이비인후과,,"14:00 - 17:30
17:00 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감"
킴스피부과의원 대연,부산 남구 수영로 297 대영BD 9층,,,"14:00 - 18:30
18:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,,0507-1449-0041,,"09:30 - 13:30
13:00 접수마감",피부과,,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감"
수미지이비인후과의원,부산 남구 수영로 304 대승타워 8층,,,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,,0507-1412-8058,,"09:00 - 13:00
12:50 접수마감",이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감"
최정화소아청소년과의원,부산 남구 분포로 111 분산 1상가 2층,,,14:00 - 18:00,,,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,051-612-1275,,09:00 - 13:00,소아청소년과,,"09:30 - 18:00
12:30 - 14:00 휴게시간
접기","09:30 - 18:00
12:30 - 14:00 휴게시간"
김성미소아청소년과의원,부산 남구 분포로 115 B동 2층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,,0507-1442-2054,,"09:00 - 14:00
13:00 접수마감",소아청소년과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감"
굿모닝내과의원,부산 남구 분포로 111 엘지메트로시티아파트,,,08:30 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,08:30 - 18:00,,,0507-1407-7581,,08:30 - 13:00,내과,,08:30 - 18:00,08:30 - 18:00
맑은솔이비인후과의원,부산 남구 수영로 260 남천메디컬 2층 맑은솔이비인후과,,,"09:00 - 18:40
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:40
13:00 - 14:00 휴게시간",,,0507-1446-4789,,09:00 - 13:00,이비인후과,,"09:00 - 18:40
13:00 - 14:00 휴게시간","09:00 - 18:40
13:00 - 14:00 휴게시간"
조영이비인후과의원,부산 남구 분포로 111 엘지메트로시티아파트,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,051-612-3119,,09:00 - 13:00,이비인후과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간"
늘편한내과의원,부산 남구 진남로 4 3층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-621-0119,,09:00 - 13:00,내과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
대연 류 피부과 의원,부산 남구 수영로 240-1 이지스퀘어빌딩 2층,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1354-0630,,09:30 - 15:00,피부과,휴무,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간"
뷰에르의원,부산 남구 분포로 145 제스퀘어동 2108호,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,14:00 - 19:00,,,051-621-1300,,10:00 - 15:00,피부과,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간"
대한결핵협회부산광역시지부복십자의원,부산 남구 수영로 299 4층,,,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",,,051-611-3622,,정기휴무 (매주 토요일),내과,,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감"
박지훈정신건강의학과의원,부산 남구 수영로 330 3층 박지훈 정신건강의학과의원,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
13:00 - 14:00 휴게시간",,,0507-1329-2525,,09:00 - 13:00,정신건강의학과,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간"
바른눈안과,부산 남구 수영로 297,,,"09:00 - 16:00
15:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 16:00
15:30 접수마감",,,051-611-4455,,"09:00 - 11:00
10:30 접수마감",안과,,"09:00 - 16:00
15:30 접수마감",정기휴무 (매주 금요일)
이화산부인과의원,부산 남구 수영로 216-2,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-628-9888,,"09:00 - 15:00
13:00 - 14:00 휴게시간",산부인과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
큰나무정형외과의원,부산 남구 용호로 54 대영빌딩,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-625-6119,,09:00 - 12:00,정형외과,,14:00 - 18:00,"09:00 - 18:00
13:00 - 14:00 휴게시간"
메트로성모안과의원,부산 남구 분포로 113 엘지메트로시티 주2상가 503호,,,14:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-714-3652,,09:30 - 13:30,안과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
클라쎄피부과의원,부산 남구 용호로 50,,,,,휴무,정기휴무 (매주 일요일),,,,휴무,0507-1418-7502,,"09:30 - 13:00
12:30 접수마감",피부과,휴무,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감"
이의원,부산 남구 유엔로 10 뉴서울아파트,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-633-2544,,09:00 - 12:30,내과,,09:00 - 18:00,09:00 - 18:00
미래의원,부산 남구 수영로266번길 36,,,09:30 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 18:00,,,051-622-6100,,09:30 - 13:00,"병원,의원",,09:30 - 18:00,09:30 - 18:00
남경한의원,부산 남구 수영로 312 21세기센츄리시티건물,,,"09:30 - 18:00
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 13:30 휴게시간",,,051-621-1135,,09:30 - 14:00,한의원,,"09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간"
대연성모안과,부산 남구 수영로 198-1,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-628-0700,,09:00 - 12:00,안과,,09:00 - 18:00,09:00 - 18:00
박현용내과의원,부산 남구 용호로 141 부산은행 5층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-621-7105,,09:00 - 14:00,내과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
당봄한의원 부산점,부산 남구 문현금융로 40 BIFC몰 230호,,,"10:00 - 19:00
14:00 - 15:00 휴게시간",,,정기휴무 (매주 일요일),,정기휴무 (매주 월요일),정기휴무 (매주 화요일),,051-637-1075,,10:00 - 15:00,한의원,,"10:00 - 19:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간"
길민경산부인과의원,부산 남구 수영로 340,,,"14:00 - 17:30
16:50 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감",,,051-621-2616,,정기휴무 (매주 토요일),산부인과,,"09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감"
리본마취통증의학과의원,부산 남구 수영로 323 2층 202호,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,0507-1434-7578,,09:00 - 14:00,정형외과,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
용호메트로마취통증의학과의원,부산 남구 용호로 48,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",,현충일 휴무,09:00 - 14:00,,"09:00 - 19:00
12:30 - 14:00 휴게시간",,,051-923-9988,,09:00 - 14:00,정형외과,,"09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간"
우재곤내과의원,부산 남구 수영로 21,,,09:00 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-633-7740,,09:00 - 13:00,내과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
우재곤내과의원,부산 남구 수영로 21,,,09:00 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-633-7740,,09:00 - 13:00,내과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
참조은안과의원,부산 남구 수영로 246,,,09:00 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:30 휴게시간",,,051-717-0375,,09:00 - 13:00,안과,,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간"
부산더존한방병원,부산 남구 수영로 305 스파크빌딩 4층,,,"09:30 - 21:00
13:00 - 14:00 휴게시간",,"현충일10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간",,"09:30 - 21:00
13:00 - 14:00 휴게시간",,,051-791-0870,,"09:30 - 17:00
13:00 - 14:00 휴게시간",한방병원,,"09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간"
더조은의원,부산 남구 수영로 233 민석빌딩,,,09:00 - 19:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 19:00,,,051-865-9393,,09:00 - 13:00,"병원,의원",,09:00 - 19:00,09:00 - 19:00
진도순이비인후과의원,부산 남구 수영로 25,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-646-4321,,09:00 - 13:00,이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
365자연안에한의원 대연,부산 남구 수영로 306 농협건물 4층,,,"10:00 - 21:00
13:00 - 14:00 휴게시간",,"현충일10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간",,"10:00 - 21:00
13:00 - 14:00 휴게시간",,,051-611-9800,,10:00 - 15:00,한의원,,"10:00 - 21:00
13:00 - 14:00 휴게시간
접기","10:00 - 21:00
13:00 - 14:00 휴게시간"
