병원이름,병원주소,일(6/4),토(6/3),수,목(6/8),화(6/6),일,매일,월,화,수(6/7),전화번호,금(6/2),토,병원종류,월(6/5),목,금
인창대연요양병원,부산 남구 수영로 164,,,"08:30 - 17:30
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 17:30
12:30 - 13:30 휴게시간",,,051-774-1004,,정기휴무 (매주 토요일),요양병원,,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간"
로덴치과의원,부산 남구 분포로 113 엘지메트로시티주상가 1005동 302호,,,"09:40 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:40 - 18:30
12:30 - 14:00 휴게시간",,,0507-1310-1928,,09:40 - 13:00,치과,,"09:40 - 18:30
12:30 - 14:00 휴게시간","09:40 - 18:30
12:30 - 14:00 휴게시간"
최원복소아청소년과의원,부산 남구 수영로 323 태강프라자 2층 201호 최원복소아청소년과,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,정기휴무 (매주 월요일),,,051-628-7711,,"09:00 - 17:00
12:30 - 13:30 휴게시간",소아청소년과,,09:00 - 18:00,09:00 - 18:00
조용현안과,부산 남구 수영로 198-1,,,,,,,,,,,No phone number available,,,안과,,,
명인이플란트치과의원,부산 남구 수영로 223 1층,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 21:00
13:00 - 14:30 휴게시간",,,0507-1359-2870,,09:30 - 14:00,치과,,"09:30 - 21:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간"
부산성모병원 응급실,부산 남구 용호로232번길 25-14 부산성모병원,,,,,,,"00:00 - 24:00
접기",,,,051-933-7119,,,응급실,,,
안무경가정의학과의원,부산 남구 유엔평화로 152-2 한신문화타운상가 208~209호,,,"09:00 - 16:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:40
12:30 - 14:00 휴게시간",,,051-626-3030,,09:00 - 12:30,가정의학과,,"09:00 - 17:40
12:30 - 14:00 휴게시간","09:00 - 17:40
12:30 - 14:00 휴게시간"
슬기로운내과의원,부산 남구 고동골로 16 2층,,,"08:30 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 18:00
13:00 - 14:00 휴게시간",,,051-645-3388,,08:30 - 14:00,내과,,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간"
부산성모병원 장례식장,부산 남구 고동골로 16 2층,,,,,,,,,,,051-933-7480,,,장례식장,,,
장주경치과의원,부산 남구 수영로 330 신화빌딩,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,051-626-7972,,09:30 - 13:30,치과,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
더블유한의원,부산 남구 분포로 145 W스퀘어 1113호,,,10:00 - 15:00,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-711-8575,,10:00 - 15:00,한의원,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
광덕안정한의원 부산대연점,"부산 남구 용소로 5 2, 5, 6층",,,"08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감",,"현충일08:00 - 17:00
13:00 - 14:00 휴게시간","08:00 - 17:00
13:00 - 14:00 휴게시간
16:20 접수마감",,"08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감",,,051-714-2475,,"08:00 - 17:00
13:00 - 14:00 휴게시간
16:20 접수마감",한의원,,"08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감","08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감"
새롬이비인후과의원,부산 남구 수영로 230 이상원정형외과,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,0507-1433-7576,,09:00 - 13:00,이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
그랜드치과의원,부산 남구 동명로 139,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-264-2875,,09:30 - 13:30,치과,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
본드림한의원,부산 남구 수영로 345 3층,,,"10:00 - 20:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,051-741-7588,,10:00 - 14:00,한의원,휴무,"10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간"
신세종피부비뇨기과의원,부산 남구 수영로 203 대연 메디칼센터,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-628-8017,,09:00 - 13:00,비뇨의학과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
서울리더스치과의원,부산 남구 문현금융로 40 부산국제금융센터 BIFC몰상가 302호,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:30 휴게시간",,,051-637-2879,,09:30 - 13:00,치과,,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간"
김영수내과의원,부산 남구 수영로 209 일동 지에닌 상가2층,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
13:00 - 14:00 휴게시간",,,051-611-6151,,09:00 - 14:00,내과,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간"
산삼한의원,부산 남구 수영로 260 남천메디컬 대연백리명가 6층,,,"09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감",,현충일09:10 - 15:00,"09:10 - 15:00
14:30 접수마감",,"09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감",,,0507-1470-1077,,"09:10 - 15:00
14:30 접수마감",한의원,,"09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감"
박창수한의원,부산 남구 고동골로 8,,,"09:00 - 20:30
13:00 - 14:30 휴게시간
18:30 - 19:30 휴게시간",,,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간",,051-636-1059,,"09:00 - 16:30
13:00 - 14:30 휴게시간",한의원,,"정기휴무 (매주 목요일)
접기","09:00 - 18:00
13:00 - 14:30 휴게시간"
이좋은45치과의원,부산 남구 수영로 163 삼화메디컬타워 6층,,,"09:30 - 21:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,051-711-2845,,09:30 - 13:00,치과,,정기휴무 (매주 목요일),"09:30 - 18:30
13:00 - 14:30 휴게시간"
e라인치과의원,부산 남구 수영로 299 대한결핵협회 남부지회 7층,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감",,,051-612-2885,,"10:00 - 14:00
13:00 접수마감",치과,,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감","10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감"
김정태정형외과의원,부산 남구 수영로 230,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감",,,051-628-1997,,"09:00 - 13:00
12:15 접수마감",정형외과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감"
신진근이비인후과의원,부산 남구 분포로 113 엘지메트로시티 주2상가 3층 303호,,,14:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-612-5075,,09:00 - 13:00,이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
새로운치과의원,부산 남구 수영로 195-5,,,"09:30 - 21:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 21:00
13:00 - 14:30 휴게시간",,,051-633-2804,,09:30 - 13:00,치과,,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간"
새이치과의원,부산 남구 석포로 76,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1331-2825,,09:30 - 13:30,치과,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
경희서울한의원,부산 남구 용호로 173 1층,,,"09:00 - 20:00
12:30 - 14:00 휴게시간",,현충일09:00 - 15:00,09:00 - 15:00,,"09:00 - 20:00
12:30 - 14:00 휴게시간",,,051-710-7525,,09:00 - 15:00,한의원,,"09:00 - 20:00
12:30 - 14:00 휴게시간
접기","09:00 - 20:00
12:30 - 14:00 휴게시간"
참사랑의원,부산 남구 전포대로92번길 6 세일의원,,,09:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:30,,,051-527-3331,,09:00 - 14:00,내과,,09:00 - 18:30,09:00 - 18:30
온부부치과의원,부산 남구 용호로 159 청솔학원,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:30
12:30 - 14:00 휴게시간",,,051-611-2825,,09:30 - 13:00,치과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
서민정형외과의원,부산 남구 용호로 132-1 서민외과의원,,,09:00 - 12:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-621-7890,,09:00 - 12:30,정형외과,,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간"
그린마취통증의학과의원,부산 남구 용호로 189-2 2층 그린마취통증의학과의원,,,"09:00 - 17:00
12:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:00
12:00 - 14:00 휴게시간",,,051-611-8998,,09:00 - 12:00,마취통증의학과,,09:00 - 12:00,"09:00 - 17:00
12:00 - 14:00 휴게시간"
그랜드자연요양병원,부산 남구 황령대로 355-14,,,09:30 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 18:00,,,051-612-0075,,정기휴무 (매주 토요일),요양병원,,09:30 - 18:00,09:30 - 18:00
대연혁신치과의원,부산 남구 수영로 345 대연힐스테이트푸르지오,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-627-5657,,09:30 - 13:00,치과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
삐뚤한이바르게치과 교정과치과의원,부산 남구 용소로 4 동아서적빌딩 8층 삐뚤한이바르게치과교정과치과의원,,,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","10:30 - 19:00
13:00 - 14:30 휴게시간",현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1313-2833,,"09:30 - 14:00
13:30 접수마감",치과,휴무,,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감"
이곳치과의원,부산 남구 수영로 157,,,"10:00 - 19:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:30 휴게시간",,,051-942-2875,,10:00 - 14:00,치과,,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간"
혜인한의원,부산 남구 수영로 256 혜인한의원,,,10:00 - 13:00,,현충일10:00 - 16:00,정기휴무 (매주 일요일),,"10:00 - 20:00
13:00 - 14:30 휴게시간",,,051-628-5213,,10:00 - 16:00,한의원,,"10:00 - 20:00
13:00 - 14:30 휴게시간
접기","10:00 - 19:00
13:00 - 14:30 휴게시간"
대연마취통증의학과의원,부산 남구 수영로 223 삼창빌딩 3층,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-628-8280,,09:00 - 14:00,마취통증의학과,,09:00 - 13:00,09:00 - 18:00
전치과의원,부산 남구 고동골로 16,,,"09:30 - 18:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:30 휴게시간",,,051-635-0018,,09:30 - 12:00,치과,,14:30 - 18:00,"09:30 - 18:00
13:00 - 14:30 휴게시간"
수부부치과의원,부산 남구 수영로 298 산암빌딩,,,"09:30 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:00 휴게시간",,,051-628-8020,,09:30 - 13:00,치과,,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간"
이만재내과의원,부산 남구 황령대로 488 이만재내과의원,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-622-2233,,09:00 - 13:00,내과,,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간"
구자영내과의원,부산 남구 수영로 182-1 3층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,,051-646-3345,,"09:00 - 13:00
12:30 접수마감",내과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감"
대연성모병원,부산 남구 황령대로353번길 66 대연성모병원,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-622-2525,,정기휴무 (매주 토요일),"병원,의원",,09:00 - 18:00,09:00 - 18:00
BH병원,부산 남구 수영로 165 BH병원,,,"09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감",,,051-633-6665,,정기휴무 (매주 토요일),정신건강의학과,,"09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감"
유앤아이치과의원,부산 남구 수영로 33 203호,,,"09:30 - 18:30
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,051-635-0035,,09:30 - 13:30,치과,,14:30 - 20:30,"09:30 - 18:30
13:00 - 14:30 휴게시간"
경희자강한의원,부산 남구 용호로160번길 4 1층 경희자강한의원,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-929-0030,,09:00 - 13:00,한의원,,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간"
세화의원,부산 남구 석포로 64,,,09:00 - 18:30,,현충일09:00 - 13:30,정기휴무 (매주 일요일),,09:00 - 18:30,,,051-632-4392,,09:00 - 13:30,"병원,의원",,"09:00 - 18:30
접기",09:00 - 18:30
하이미소치과의원,부산 남구 분포로 115 A동 204호,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,정기휴무 (매주 월요일),,,051-802-1007,,"09:30 - 15:30
15:00 접수마감",치과,,"09:30 - 19:00
13:00 - 14:20 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:20 휴게시간
18:30 접수마감"
참좋은치과의원,"부산 남구 수영로 204 1층, 2층",,,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",,,051-622-7575,,"09:30 - 14:00
13:00 접수마감",치과,,"09:30 - 21:00
12:30 - 14:00 휴게시간
20:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감"
박홍석이비인후과의원,부산 남구 수영로 203,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,0507-1309-9517,,09:00 - 13:00,이비인후과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
뷰티플란트치과의원,부산 남구 수영로 169 션샤인DR시티 501호,,10:00 - 12:00,,,현충일 휴무,정기휴무 (매주 일요일),,,,14:00 - 21:00,051-715-2879,,,치과,휴무,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
윌리스요양병원,부산 남구 수영로 185-7 원곡빌딩,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",,,정보없음,,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,051-638-7575,,09:00 - 12:00,요양병원,,"09:00 - 18:00
12:30 - 13:30 휴게시간
접기","09:00 - 18:00
12:30 - 13:30 휴게시간"
W치과의원,부산 남구 수영로 323 4층 402호 더블유치과,,,13:00 - 20:00,,현충일 휴무,정기휴무 (매주 일요일),,13:00 - 20:00,,,0507-1407-2842,,정기휴무 (매주 토요일),치과,,13:00 - 20:00,13:00 - 20:00
강동섭소아과의원,부산 남구 수영로 37,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-634-9305,,정기휴무 (매주 토요일),소아청소년과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
다솜부부치과의원,부산 남구 용호로 50,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-626-2879,,09:30 - 13:00,치과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
김진규내과의원,부산 남구 고동골로78번길 12 동일약국,,,09:00 - 18:30,,현충일09:00 - 13:00,정기휴무 (매주 일요일),,09:00 - 18:30,,,0507-1314-7666,,09:00 - 14:00,내과,,"09:00 - 18:30
접기",09:00 - 18:30
새라새요양병원,부산 남구 석포로26번길 17,,,09:00 - 17:00,,현충일 휴무,정보없음,,09:00 - 17:00,,,051-628-6005,,09:00 - 12:00,요양병원,,09:00 - 17:00,09:00 - 17:00
정다운치과의원,부산 남구 황령대로319번가길 194 부산은행,,,"09:30 - 18:30
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,051-626-2882,,09:30 - 13:00,치과,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간"
바른얼굴덕치과의원,부산 남구 수영로 261 제401동 208호~209호,,,10:00 - 14:00,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-623-2080,,10:00 - 14:00,치과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
대연의원,부산 남구 수영로 256 혜인한의원 빌딩 2층 대연의원,,,"09:30 - 17:30
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 17:30
12:30 - 13:30 휴게시간",,,051-624-0607,,09:00 - 12:00,"병원,의원",,"09:30 - 17:30
12:30 - 13:30 휴게시간","09:30 - 17:30
12:30 - 13:30 휴게시간"
가나병원,부산 남구 유엔평화로 156,,,09:00 - 17:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 17:30,,,051-624-6666,,정기휴무 (매주 토요일),"병원,의원",,09:00 - 17:30,09:00 - 17:30
동재비뇨기과의원,부산 남구 용호로 144 정효경치과,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-627-8825,,09:30 - 13:00,비뇨의학과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
