이름,병원주소,병원종류,영업시간,전화번호
더착한치과의원,부산 강서구 명지오션시티4로 59,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감
토
09:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:30 - 20:30
12:30 - 14:00 휴게시간
19:30 접수마감
목
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",051-203-2875
금빛한의원 부산점,부산 강서구 명지국제8로 257 3층,한의원,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
10:00 - 14:00
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일10:00 - 14:00
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
접기",0507-1310-7510
푸르미소아청소년과의원,부산 강서구 명지국제8로 257 티에스스퀘어 502호,소아청소년과,"금
08:30 - 19:00
12:30 - 14:00 휴게시간
토
08:30 - 15:00
일
09:00 - 14:00
월
08:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 14:00
수
08:30 - 19:00
12:30 - 14:00 휴게시간
목
08:30 - 19:00
12:30 - 14:00 휴게시간",051-204-0012
365텐텐이비인후과의원,부산 강서구 명지국제8로 233 더스퀘어 3층 301호,이비인후과,"금
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
토
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
일
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
월
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
화
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
수
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
목
10:00 - 22:00
13:00 - 14:00 휴게시간
18:00 - 19:00 휴게시간
접기",051-292-0365
오션키즈연합소아청소년과의원,"부산 강서구 명지오션시티11로 74 303호, 304호",소아청소년과,"금
09:00 - 20:00
13:00 - 14:00 휴게시간
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일08:00 - 13:00
수
09:00 - 20:00
13:00 - 14:00 휴게시간
목
09:00 - 20:00
13:00 - 14:00 휴게시간
접기",051-292-8575
365하하병원,부산 강서구 명지오션시티4로 88,정형외과,"금
09:00 - 19:00
12:30 - 13:30 휴게시간
토
09:00 - 15:00
12:30 - 13:30 휴게시간
일
09:00 - 16:00
12:30 - 13:30 휴게시간
월
09:00 - 19:00
12:30 - 13:30 휴게시간
화
09:00 - 19:00
12:30 - 13:30 휴게시간
수
09:00 - 19:00
12:30 - 13:30 휴게시간
목
09:00 - 19:00
12:30 - 13:30 휴게시간",051-710-8899
고운세상피부과의원 서부산점,부산 강서구 명지국제5로 42 3층,피부과,"금
09:30 - 20:00
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간
목
09:30 - 18:30
12:30 - 14:00 휴게시간",051-715-2216
명지내과의원,부산 강서구 명지국제2로 29,내과,"금
08:30 - 19:00
13:00 - 14:00 휴게시간
토
08:30 - 13:00
일
08:30 - 13:00
월
08:30 - 19:00
13:00 - 14:00 휴게시간
화
08:30 - 19:00
13:00 - 14:00 휴게시간
수
08:30 - 19:00
13:00 - 14:00 휴게시간
목
08:30 - 19:00
13:00 - 14:00 휴게시간",051-271-7533
정이비인후과의원,부산 강서구 명지오션시티11로 66,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",0507-1422-7570
갑을녹산병원,부산 강서구 녹산산단321로 24-8,"병원,의원","금
08:30 - 17:30
12:30 - 13:30 휴게시간
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
12:30 - 13:30 휴게시간
화
08:30 - 17:30
12:30 - 13:30 휴게시간
수
08:30 - 17:30
12:30 - 13:30 휴게시간
목
08:30 - 17:30
12:30 - 13:30 휴게시간",051-974-8300
위앤대우리큰내과의원,부산 강서구 명지오션시티11로 66,내과,"금
09:00 - 19:00
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 14:00
목
09:00 - 19:00",051-253-7553
명지맑은피부과의원,부산 강서구 명지국제8로 229 아이메디컬빌딩 5층 명지맑은피부과,피부과,"금
09:30 - 18:30
12:30 - 13:30 휴게시간
토
09:00 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수(6/7)
09:30 - 18:30
12:30 - 13:30 휴게시간
목
09:30 - 18:30
12:30 - 13:30 휴게시간",0507-1304-5873
대한산업보건협회남부산의원,부산 강서구 명지오션시티9로 21,"병원,의원","금
08:30 - 16:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
08:30 - 16:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
08:30 - 16:00
12:00 - 13:00 휴게시간
목
08:30 - 16:00
12:00 - 13:00 휴게시간",051-710-6888
큰나무정형외과의원,부산 강서구 명지오션시티4로 75 서린프라자 4층,정형외과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:00
12:30 - 14:00 휴게시간
목
09:30 - 19:00
12:30 - 14:00 휴게시간",051-202-3136
맑은샘이비인후과,부산 강서구 명지국제8로 230 산양타워 5층 503호,이비인후과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",0507-1330-5275
명지이비인후과의원,부산 강서구 명지국제8로 245 뉴타워 502호,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-291-1888
행복한어린이병원,부산 강서구 명지국제1로 25 우진메디컬 8층,소아청소년과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 16:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-264-9500
듣는마음이선호정형외과의원,부산 강서구 명지국제8로 230 산양타워 3층 듣는마음이선호정형외과,정형외과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:45 접수마감
토
09:00 - 14:00
13:45 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:45 접수마감
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
18:45 접수마감
목
09:00 - 20:00
13:00 - 14:00 휴게시간
19:45 접수마감",051-292-9119
명지웰마취통증의학과의원,부산 강서구 명지국제2로28번길 3 동건프라자 6층,마취통증의학과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
09:00 - 13:00
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화
09:00 - 18:30
12:30 - 14:00 휴게시간
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",0507-1466-7736
다사랑내과의원,부산 강서구 명지국제11로 25,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
13:30 - 18:30
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-201-2115
박관식내과의원,부산 강서구 신호산단2로 21,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-966-0029
김앤박내과의원,부산 강서구 명지국제8로 241 금남빌딩 3층 김앤박내과의원,내과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 12:30
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-271-3322
국제한의원,부산 강서구 명지국제8로 243,한의원,"금
09:30 - 19:00
토
09:15 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
화(6/6)
현충일 휴무
수
09:30 - 20:00
목
09:30 - 19:00",051-711-2625
명지치과의원,부산 강서구 명지오션시티4로 61 이건빌딩 301호,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 20:30",051-271-2842
아주푸른소아청소년과의원,부산 강서구 과학산단로306번길 10 협성·DS 엘리시안아파트,소아청소년과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정보없음
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화
09:00 - 18:00
13:00 - 14:00 휴게시간
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",051-831-3725
패밀리소아청소년과의원,부산 강서구 명지오션시티10로 16,소아청소년과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-271-1123
웰키즈소아청소년과의원,부산 강서구 명지국제11로 27 3층,소아청소년과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
09:00 - 14:00
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 14:00
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간
접기",051-293-8001
웰하이여성아동병원,부산 강서구 명지오션시티4로 95 웰하이여성아동병원,"병원,의원",,051-201-8854
부산강서구보건소,부산 강서구 공항로811번길 10 강서브라이트센터,보건소,,051-970-3415
엘림피부과의원,부산 강서구 명지오션시티4로 64 명지메디칼 4층 401호,피부과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:30
12:30 - 13:00 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
14:00 - 18:30",051-205-2456
명지성모안과의원,부산 강서구 명지국제8로 245 6층,안과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-711-3233
신호내과의원,부산 강서구 신호산단2로 41,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-831-7763
늘편한이비인후과의원,부산 강서구 명지오션시티4로 67,이비인후과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화
09:00 - 18:30
13:00 - 14:00 휴게시간
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간
접기",051-291-9325
이헌경소아청소년과의원,부산 강서구 명지오션시티4로 64,소아청소년과,"금
09:00 - 18:30
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
화(6/6)
현충일 휴무
수
09:00 - 18:30
목
09:00 - 18:30",051-206-5296
양지이비인후과의원,부산 강서구 명지국제8로 254 시온프라자 5층 양지이비인후과 의원,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화
09:00 - 19:00
13:00 - 14:00 휴게시간
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간
접기",0507-1409-7176
명지어린이치과의원,부산 강서구 명지오션시티4로 64,치과,"금
10:00 - 18:30
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
10:00 - 18:30",051-291-1275
더예쁜의원,부산 강서구 명지국제2로28번길 23 네오웨스턴스퀘아 2동 2층,피부과,"금
10:00 - 19:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
목
10:00 - 21:00
13:00 - 14:00 휴게시간",051-202-1997
더퍼스트성모안과의원,부산 강서구 명지국제2로 41 249-252호,안과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
14:00 - 18:00
목
09:00 - 18:00
12:30 - 14:00 휴게시간
접기",0507-1381-1207
명지 정내과 의원,"부산 강서구 명지국제8로 230 401, 402호",내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",0507-1388-6633
명지퍼스트치과의원,부산 강서구 명지국제7로 37 더샵 명지퍼스트월드 2단지 상가 2층,치과,"금
10:00 - 19:00
토
09:30 - 14:30
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
화(6/6)
현충일 휴무
수
10:00 - 19:00
목
10:00 - 21:00",0507-1406-2882
늘편한치과의원,부산 강서구 명지국제8로 229 403호,치과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
09:30 - 20:00
12:30 - 14:00 휴게시간",051-715-7528
미소온치과의원,부산 강서구 명지국제2로28번길 3 동건프라자 2층 203호,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 20:00
12:30 - 14:00 휴게시간",0507-1308-7522
명지일신산부인과의원,부산 강서구 명지오션시티4로 64 5층 502호 명지일신산부인과,산부인과,"금
09:30 - 17:00
12:30 - 13:30 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 17:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 17:00
12:30 - 13:30 휴게시간
목
09:30 - 12:30",051-271-1175
더핌의원,부산 강서구 명지국제2로28번길 3 302호~305호,마취통증의학과,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
토
10:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
목
10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감",0507-1406-7992
서울시온치과의원,부산 강서구 명지오션시티11로 74,치과,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 21:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 21:00
12:30 - 14:00 휴게시간
목
정기휴무 (매주 목요일)",051-292-0010
연세고마운치과의원 부산지점,부산 강서구 명지국제8로 234 정우빌딩2차 4층,치과,"금
10:00 - 18:30
13:00 - 14:30 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:30 휴게시간
목
09:30 - 20:30
13:00 - 14:30 휴게시간
17:30 - 18:00 휴게시간",051-241-2875
우리가족연합의원,부산 강서구 과학산단2로20번길 20 행복메디컬빌딩 2층,"병원,의원","금
09:00 - 17:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-985-1000
아이웰가정의학과의원,부산 강서구 과학산단로306번길 10 협성 ds엘리시안 아파트 상가2층 205.206호,가정의학과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-831-9339
뉴욕치과의원,부산 강서구 명지국제8로 251,치과,"금
정기휴무 (매주 금요일)
토
09:30 - 14:30
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:30 - 15:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:00
13:30 - 15:00 휴게시간
목
10:00 - 20:00
13:30 - 15:00 휴게시간",051-293-6528
무척편안한의원,부산 강서구 명지국제11로 25 1동 2층,한의원,"금
10:00 - 20:00
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
화(6/6)
현충일 휴무
수
10:00 - 20:00
목
14:00 - 20:00",051-206-5649
365자연안에한의원 명지,"부산 강서구 명지국제8로 254 시온플라자 1동 201호, 202호, 203호",한의원,"금
10:00 - 21:00
토
10:00 - 17:00
13:00 - 14:00 휴게시간
일
10:00 - 17:00
13:00 - 14:00 휴게시간
월
10:00 - 21:00
화
10:00 - 21:00
수
10:00 - 21:00
목
10:00 - 21:00
접기",0507-1384-0366
봄봄어린이치과의원,부산 강서구 명지국제8로 240,치과,"금
10:00 - 18:00
12:30 - 14:00 휴게시간
토(6/3)
휴무
일
정기휴무 (매주 일요일)
월
10:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
10:00 - 18:00
12:30 - 14:00 휴게시간",051-208-8275
명지튼튼정형외과의원,부산 강서구 명지국제8로 245 뉴타워 3층 302~304호,"병원,의원","금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",0507-1440-8275
신세계치과의원,부산 강서구 명지국제8로 245 명지뉴타워4층,치과,"금
09:30 - 19:00
13:00 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:00 휴게시간
목
09:30 - 19:00
13:00 - 14:00 휴게시간",051-205-2888
더착한치과의원,부산 강서구 명지오션시티4로 59,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감
토
09:00 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월(6/5)
휴무
화(6/6)
현충일 휴무
수
09:30 - 20:30
12:30 - 14:00 휴게시간
19:30 접수마감
목
09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",051-203-2875
큐의원,부산 강서구 명지국제6로 246 예성빌딩 4층,피부과,"금
10:00 - 19:00
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
화(6/6)
현충일 휴무
수
10:00 - 20:00
목
10:00 - 19:00",0507-1424-7990
제일마취통증의학과의원,부산 강서구 명지오션시티11로 66,정형외과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
토
09:00 - 14:00
13:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 20:00
12:30 - 14:00 휴게시간
19:30 접수마감
목
09:00 - 12:30
12:00 접수마감",051-205-0776
