이름,병원주소,병원종류,영업시간,전화번호
늘푸른내과의원,경남 김해시 번화1로79번길 2 2층,내과,"금
09:00 - 18:00
토
09:00 - 13:00
일
09:00 - 18:00
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",055-313-0095
선샤인피부과의원,부산 사상구 가야대로 276 엘리트치과병원건물 3층 선샤인피부과의원,피부과,"금
09:30 - 20:00
13:00 - 14:30 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:30 휴게시간
목
09:30 - 19:00
13:00 - 14:30 휴게시간",0507-1495-3210
고운나라피부과의원,경남 김해시 내외중앙로 57 경남프라자,피부과,"금
10:00 - 18:00
17:30 접수마감
토
10:00 - 16:00
15:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 18:00
17:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 18:00
17:30 접수마감
목
정기휴무 (매주 목요일)",055-338-7510
박만규피부과의원,부산 사상구 가야대로 272,피부과,"금
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
토
09:10 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감
목
09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",0507-1492-5445
괴정아트치과의원,"부산 사하구 사하로 189 307,308호",치과,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
토
09:30 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
목
14:00 - 20:00
19:30 접수마감",051-204-2801
가본이비인후과의원,부산 사상구 엄궁북로 22,이비인후과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-325-5075
한마음정형외과의원,경남 창원시 진해구 용원로 9 엠파이어상가 4층 402호,정형외과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",055-552-0052
메이퓨어의원 부산덕천점,부산 북구 만덕대로 16 8층,피부과,"금
10:30 - 20:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)
월
10:30 - 20:30
화(6/6)
현충일 휴무
수
10:30 - 20:30
목
10:30 - 20:30",051-337-9960
굿모닝대홍병원,경남 김해시 분성로 180 해산빌딩,외과,"금
09:00 - 19:30
12:30 - 14:00 휴게시간
19:00 접수마감
토
09:00 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감
목
09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감",0507-1428-0025
율하수안피부과의원,경남 김해시 율하3로 38 경보오션 6층,피부과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 19:30
목
09:30 - 18:30
12:30 - 14:00 휴게시간",055-723-3070
탑치과의원,부산 사하구 다대로 550 해랑빌딩 2층,치과,"금
09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감
토
09:30 - 14:00
13:00 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6)
현충일 휴무
수
09:30 - 13:00
12:00 접수마감
목
09:30 - 19:00
13:00 - 14:00 휴게시간
18:00 접수마감",051-266-8275
수정안과의원,부산 북구 만덕대로 5,안과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 16:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-331-7575
윤이비인후과의원,경남 김해시 능동로 159,이비인후과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 16:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",055-312-7731
부산탑이비인후과의원,부산 사상구 가야대로 276 M-square 메디컬센터 5층 501호 (주례동),이비인후과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간
접기",051-710-7655
생각나는이비인후과의원,부산 사하구 하신번영로 199 3층,이비인후과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 13:00
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-201-5656
새한빛정형외과의원,경남 김해시 활천로 229 한빛메디칼센터,정형외과,"금
09:00 - 18:00
12:30 - 13:30 휴게시간
토
09:00 - 12:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간
목
09:00 - 18:00
12:30 - 13:30 휴게시간",055-327-7525
365엠아이치과의원,"경남 김해시 번화1로44번길 6 엠아이병원 신관 4층, 5층(대청동 다이소 뒤편)",치과,"금
10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
토
10:00 - 17:00
13:00 - 14:00 휴게시간
일
10:00 - 17:00
13:00 - 14:00 휴게시간
월
10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
화(6/6)
현충일10:00 - 17:00
13:00 - 14:00 휴게시간
수
10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
목
10:00 - 21:00
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간",055-311-2879
참사랑의원,부산 사상구 덕상로 14 대원빌딩,가정의학과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-304-7584
한국한센복지협회 부산지부 부설 복지의원,부산 사하구 다대로 263 5층 501호,피부과,"금
09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
목
09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",051-262-7511
정한의원,경남 김해시 율하3로 5 정한의원,한의원,"금
09:30 - 17:00
12:30 - 14:00 휴게시간
토(6/3)
휴무
일(6/4)
휴무
월(6/5)
휴무
화(6/6)
휴무
수
09:30 - 17:00
12:30 - 14:00 휴게시간
목
14:00 - 20:00",055-311-0001
시원한이비인후과의원,부산 사하구 낙동대로 448 3층,이비인후과,"금
09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감
토
09:30 - 13:00
12:55 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감
화(6/6)
현충일 휴무
수
09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감
목
09:30 - 18:15
13:00 - 14:30 휴게시간
18:10 접수마감",051-202-3447
장유어린이치과의원,경남 김해시 능동로 157 거북빌딩 4층,치과,"금
09:30 - 18:00
13:00 - 14:30 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:00
13:00 - 14:30 휴게시간
목
09:30 - 18:00
13:00 - 14:30 휴게시간",055-314-1275
율하봄소아청소년과의원,경남 김해시 율하6로 56 메이저타워 3층,소아청소년과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",055-325-5050
중앙자모산부인과의원,경남 김해시 인제로 159 2층,산부인과,"금
10:00 - 16:00
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
10:00 - 16:00
화(6/6)
현충일 휴무
수
정기휴무 (매주 수요일)
목
10:00 - 16:00",055-325-6789
덕천필피부과의원,부산 북구 만덕대로 22 드림메디칼빌딩 6층,피부과,"금
09:30 - 17:30
12:50 - 14:00 휴게시간
토
09:30 - 12:30
일
정기휴무 (매주 일요일)
월
09:30 - 17:30
12:50 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 17:30
12:50 - 14:00 휴게시간
목
14:00 - 17:30",0507-1412-1236
하나의원,경남 김해시 번화1로80번길 15 다성빌딩,피부과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 12:30
목
09:00 - 18:30
12:30 - 14:00 휴게시간",0507-1423-3111
부산자생한방병원,"부산 사하구 낙동남로 1427 6, 7, 8, 9층",한방병원,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감
토
09:00 - 18:00
13:00 - 14:00 휴게시간
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감
화(6/6)
현충일09:00 - 18:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감
목
09:00 - 19:00
13:00 - 14:00 휴게시간
12:00 접수마감",1577-0007
당당한방병원 김해,"경남 김해시 가락로 23 당당메디컬센터 5, 6, 7, 8, 9층",한방병원,"금
09:00 - 20:30
12:30 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 20:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 20:30
12:30 - 14:00 휴게시간
목
09:00 - 20:30
12:30 - 14:00 휴게시간",055-331-2020
배주한피부과의원,부산 사하구 낙동대로 213,피부과,"금
09:30 - 19:00
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
화(6/6)
현충일 휴무
수
09:30 - 19:00
목
09:30 - 19:00",051-204-7870
지상근내과의원,부산 사하구 낙동대로 162 2층,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화
09:00 - 18:30
13:00 - 14:00 휴게시간
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간
접기",051-207-9862
더맑은피부과의원,경남 김해시 능동로167번길 1,피부과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:30
12:30 - 14:00 휴게시간
19:20 접수마감
화(6/6)
현충일 휴무
수
09:30 - 12:30
12:20 접수마감
목
09:30 - 19:30
12:30 - 14:00 휴게시간
19:20 접수마감",055-339-9100
에디스여성병원,부산 사하구 낙동대로 361,산부인과,"금
09:00 - 19:30
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
09:00 - 13:00
월
09:00 - 19:30
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:30
13:00 - 14:00 휴게시간
목
09:00 - 19:30
13:00 - 14:00 휴게시간
접기",051-206-0999
새봄산부인과의원,부산 사상구 광장로 77 4층,산부인과,"금
09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
토
09:30 - 15:30
13:00 - 14:00 휴게시간
15:20 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감
목
09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",051-311-1331
서울소아청소년과의원,경남 김해시 번화1로80번길 5,소아청소년과,"금
09:00 - 18:00
토
09:00 - 12:30
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",055-314-7007
뉴본여성의원,부산 사하구 낙동대로 234 조일빌딩,산부인과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-291-7777
새힘정형외과의원,"부산 사하구 하신번영로 183 2,3,5,6층",정형외과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감
토
09:00 - 13:00
12:50 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감
목
09:00 - 18:00
13:00 - 14:00 휴게시간
12:50, 17:50 접수마감",051-293-7582
굿보스톤치과의원,경남 김해시 인제로 182 2층 202호,치과,"금
09:40 - 20:00
13:00 - 14:30 휴게시간
19:30 접수마감
토
09:40 - 13:30
13:00 접수마감
일
정기휴무 (매주 일요일)
월
09:40 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감
화(6/6)
현충일 휴무
수
14:30 - 20:00
19:30 접수마감
목
09:40 - 13:00
12:30 접수마감",0507-1321-5387
율하부부치과의원,경남 김해시 율하3로 49 유성프라자 401호,치과,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
09:30 - 19:00
12:30 - 14:00 휴게시간",0507-1434-2877
김해시서부보건소,경남 김해시 능동로 149,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간",1577-9400
이본의원,부산 사하구 낙동대로 451 금동빌딩,성형외과,"금
10:00 - 21:00
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
화(6/6)
현충일 휴무
수
10:00 - 19:00
목
10:00 - 19:00",051-202-0060
서정출이비인후과의원,부산 사상구 운산로 52,이비인후과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간",051-316-8275
킴스가정의학과의원,부산 사상구 대동로 107 명정빌딩 2층,가정의학과,"금
09:00 - 13:00
토
정기휴무 (매주 토요일)
일
09:00 - 17:00
13:00 - 14:00 휴게시간
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-323-7577
율하바른의원,경남 김해시 율하로 478 201호,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",055-902-0119
신항내과의원,경남 창원시 진해구 신항동로 141 애플타운헤리티지 210호,내과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",055-551-1888
연세윤내과의원,부산 사상구 사상로 200 엠시티빌딩 4층,내과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
09:00 - 13:00
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-321-1231
임용수이비인후과의원,부산 사상구 대동로 98 학장반도보라타운,이비인후과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-322-9937
맥켄지일신기독병원,부산 북구 금곡대로 133,"병원,의원","금
09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
토
09:00 - 12:30
12:00 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
목
09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",051-363-2331
최경서가정의학과의원,경남 김해시 계동로 21,가정의학과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
09:00 - 19:00
12:30 - 14:00 휴게시간",055-723-2295
마린플란트치과의원,"부산 사상구 사상로 194 괘법동 메디컬센터 4층, 5층",치과,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 14:00
일
09:30 - 14:00
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간
목
09:30 - 19:00
12:30 - 14:00 휴게시간",051-322-3332
한마음정형외과의원,부산 사하구 낙동대로 410,정형외과,"금
08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
토
08:30 - 13:00
12:00 접수마감
일
정기휴무 (매주 일요일)
월
08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
화(6/6)
현충일 휴무
수
08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감
목
08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",051-205-7776
셀빙강내과의원,부산 사상구 사상로 231,내과,"금
09:00 - 17:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 17:30
13:00 - 14:00 휴게시간
화
09:00 - 17:30
13:00 - 14:00 휴게시간
수
09:00 - 13:00
목
09:00 - 17:30
13:00 - 14:00 휴게시간
접기",051-325-8275
삼성이비인후과의원,경남 김해시 내외로 79 꿀벌상가 3층,이비인후과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 15:00
13:00 - 13:30 휴게시간
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",0507-1368-7500
탑정형외과의원,부산 사하구 사하로 200 형지스퀘어 6층,정형외과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-987-0123
드림소아청소년과의원,경남 김해시 율하로 476 3층,소아청소년과,"금
08:30 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
08:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 14:00
수
08:30 - 12:30
목
08:30 - 18:30
12:30 - 14:00 휴게시간
접기",0507-1479-7983
장윤석정형외과의원,경남 김해시 내외로 79 꿀벌상가,정형외과,"금
09:00 - 19:00
12:30 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
12:30 - 14:00 휴게시간
화
09:00 - 19:00
12:30 - 14:00 휴게시간
수
09:00 - 19:00
12:30 - 14:00 휴게시간
목
14:00 - 19:00",055-329-8787
화이트필의원,경남 김해시 내외중앙로 60 신한프라자 2층,피부과,"금
10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감
토
10:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감
목
13:00 - 19:30
19:00 접수마감",055-326-7575
