name,type,phone,address,월,화,수,목,금,토,일,holiday
더착한치과의원,치과,051-203-2875,부산 강서구 명지오션시티4로 59,,,"09:30 - 20:30
12:30 - 14:00 휴게시간
19:30 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),
큐의원,피부과,0507-1424-7990,부산 강서구 명지국제6로 246 예성빌딩 4층,10:00 - 19:00,,10:00 - 20:00,10:00 - 19:00,10:00 - 19:00,10:00 - 14:00,정기휴무 (매주 일요일),
제일마취통증의학과의원,정형외과,051-205-0776,부산 강서구 명지오션시티11로 66,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"09:00 - 20:00
12:30 - 14:00 휴게시간
19:30 접수마감","09:00 - 12:30
12:00 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),
명지바른신경외과의원,신경외과,051-710-0960,"부산 강서구 명지국제8로 242 씨에스프라자 201,202호","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),
우아한방병원,한방병원,0507-1460-8082,"부산 강서구 명지국제1로 25 우진메디컬프라자 5층 501, 502, 503호","10:00 - 21:00
13:00 - 14:00 휴게시간",,"10:00 - 21:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간
접기","10:00 - 21:00
13:00 - 14:00 휴게시간",10:00 - 16:00,정기휴무 (매주 일요일),
최성원내과의원,내과,051-292-9393,부산 강서구 명지국제8로 240,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),
명지365다나슬한의원,한의원,051-207-1365,부산 강서구 명지국제8로 230 5층,"09:30 - 20:00
13:00 - 14:30 휴게시간",,"09:30 - 20:00
13:00 - 14:30 휴게시간","09:30 - 20:00
13:00 - 14:30 휴게시간
접기","09:30 - 20:00
13:00 - 14:30 휴게시간",09:30 - 16:00,09:30 - 16:00,
신신소아청소년과의원,소아청소년과,051-941-3339,부산 강서구 신호산단2로 33 골든뷰 401호,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
명지한의원,한의원,051-271-2800,부산 강서구 명지오션시티11로 66 G타워 4층,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감",,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:20 접수마감","09:30 - 13:30
12:50 접수마감",정기휴무 (매주 일요일),
보리한의원,한의원,051-973-3075,부산 강서구 신호산단2로49번길 16,09:30 - 19:00,,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 15:00,정기휴무 (매주 일요일),
편한장의원,내과,051-203-8275,부산 강서구 명지오션시티4로 64,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감",,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 13:00
12:45 접수마감",정기휴무 (매주 일요일),
명지정신건강의학과의원,정신건강의학과,0507-1314-8486,"부산 강서구 명지국제5로 42 동진빌딩 6층, 명지정신건강의학과의원","09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감",,"09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),
명지더봄안과의원,안과,051-714-0800,부산 강서구 명지오션시티11로 66,,,,,"08:40 - 18:00
12:40 - 14:00 휴게시간",08:40 - 13:40,정기휴무 (매주 일요일),
국제치과의원,치과,051-205-2080,부산 강서구 명지국제11로 25 동명빌딩 4층,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),
자연안에병원,"병원,의원",0507-1392-9013,부산 강서구 명지오션시티4로 99,,,,,,,,
누엘의원,비뇨의학과,051-205-2017,부산 강서구 명지국제8로 245 뉴타워상가 7층,"10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감",,"14:00 - 18:15
18:00 접수마감","10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:15
13:00 접수마감",정기휴무 (매주 일요일),
오션시티치과병원,치과,051-271-7528,부산 강서구 명지오션시티4로 70 6층,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
국제한의원,한의원,051-711-2625,부산 강서구 명지국제8로 243,09:30 - 20:00,,09:30 - 20:00,09:30 - 19:00,09:30 - 19:00,09:15 - 14:00,정기휴무 (매주 일요일),
녹산보건지소,보건지소,051-970-4796,부산 강서구 생곡로 17,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
맥치과의원 명지점,치과,051-205-2486,부산 강서구 명지국제5로 42 동진빌딩 5층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 21:00,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),
개나리소아청소년과병원,소아청소년과,051-202-1113,"부산 강서구 명지국제8로 269 유당빌딩 4,5층","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),
명지더나음한의원,한의원,0507-1309-0365,부산 강서구 명지국제5로 42 402호,"10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","14:30 - 20:00
19:30 접수마감
접기","10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),
함께웃는치과의원,치과,051-201-6700,부산 강서구 명지국제8로 233,10:00 - 19:00,,10:00 - 21:00,10:00 - 21:00,10:00 - 19:00,10:00 - 17:00,정기휴무 (매주 일요일),
우리치과의원,치과,0507-1418-2804,부산 강서구 과학산단로306번길 10 협성·DS 엘리시안아파트,"10:00 - 20:30
13:00 - 14:00 휴게시간",,"10:00 - 20:30
13:00 - 14:00 휴게시간","10:00 - 20:30
13:00 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),
정지훈치과의원,치과,051-973-2272,부산 강서구 신호산단2로 33,"09:30 - 18:30
13:00 - 14:00 휴게시간",,13:30 - 18:30,"09:30 - 20:30
17:30 - 18:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
명지본한의원,한의원,0507-1402-8275,"부산 강서구 명지국제5로 14 서진빌딩 2,3층","10:00 - 20:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간
접기","10:00 - 20:00
13:00 - 14:30 휴게시간",10:00 - 14:30,10:00 - 14:30,
명지아동병원,소아청소년과,051-717-0230,부산 강서구 명지국제8로 240,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 16:00
13:00 - 14:00 휴게시간",09:00 - 13:00,
윤혜리한의원,한의원,051-202-3155,부산 강서구 명지오션시티11로 74,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
경희청담한의원,한의원,051-271-1056,부산 강서구 명지오션시티4로 61 이건빌딩 302호,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
금빛한의원 부산점,한의원,0507-1310-7510,부산 강서구 명지국제8로 257 3층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
접기","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 14:00,10:00 - 14:00,
편한몸의원,정형외과,051-973-8219,부산 강서구 신호산단2로 33,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),
한국미인부산배내과의원,내과,051-941-8866,부산 강서구 대저로 283-1,08:30 - 13:00,08:30 - 17:00,08:30 - 13:00,"08:30 - 17:00
접기",08:30 - 13:00,08:00 - 12:00,정보없음,
명지화이트치과의원,치과,051-203-8070,부산 강서구 명지국제2로 29 성광타워 5층,"09:30 - 20:30
13:00 - 14:00 휴게시간",,"09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
명지엘치과의원,치과,0507-1480-2875,부산 강서구 명지국제8로 230,"09:30 - 21:00
12:00 - 14:00 휴게시간",,09:30 - 18:30,14:00 - 21:00,09:30 - 18:30,09:30 - 17:00,정기휴무 (매주 일요일),
강서연합의원,"병원,의원",0507-1346-7170,부산 강서구 대저로 266 1층,08:00 - 18:00,,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,정기휴무 (매주 일요일),
신호원치과의원,치과,051-989-9111,부산 강서구 신호산단2로 21,"10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
신호부부한의원,한의원,0507-1488-3637,부산 강서구 신호산단2로 33 골든뷰 2층,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감",,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 15:00
14:40 접수마감",정기휴무 (매주 일요일),
서울편한내과의원,내과,0507-1493-6622,부산 강서구 대저로 254,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
리더스치과의원,치과,0507-1425-2882,부산 강서구 명지국제8로 254,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간
17:00 - 17:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),
마음에 청진기 가정의학과의원,가정의학과,051-293-0375,부산 강서구 명지국제8로 243 미주프라자 302호,10:00 - 19:00,,10:00 - 19:00,10:00 - 20:00,10:00 - 18:00,10:00 - 14:00,정기휴무 (매주 일요일),
명지치과의원,치과,051-271-2842,부산 강서구 명지오션시티4로 61 이건빌딩 301호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 20:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
해바라기치과의원,치과,051-271-7751,부산 강서구 명지오션시티4로 67,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
다온한의원,한의원,0507-1359-1075,부산 강서구 명지국제8로 251 302호 다온한의원,"09:30 - 21:00
12:30 - 14:00 휴게시간",,"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간
접기","09:30 - 21:00
12:30 - 14:00 휴게시간",09:30 - 14:30,09:30 - 14:30,
기분좋은치과의원,치과,051-271-7755,부산 강서구 명지오션시티4로 62,09:30 - 20:00,,09:30 - 18:30,09:30 - 20:00,09:30 - 18:30,09:30 - 13:30,정기휴무 (매주 일요일),
명지침례의원,내과,051-271-3227,부산 강서구 명지새동네길1번길 32,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),
연세이편한치과의원,치과,051-990-0040,부산 강서구 명지국제6로 168 명지 스타필드시티 4층,정기휴무 (매주 월요일),,"10:00 - 18:30
13:30 - 15:00 휴게시간","10:00 - 18:30
13:30 - 15:00 휴게시간
접기","10:00 - 18:30
13:30 - 15:00 휴게시간","10:00 - 17:00
13:30 - 15:00 휴게시간","10:00 - 17:00
13:30 - 15:00 휴게시간",
남경의원,내과,051-973-8575,부산 강서구 공항앞길 5,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),
애플민트치과의원,치과,051-271-8808,부산 강서구 명지오션시티4로 64,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),
강서하늘치과의원,치과,051-832-2875,부산 강서구 공항로811번가길 56,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
인제대학교부산백병원부설김해국제공항의원,"병원,의원",051-974-2888,부산 강서구 공항진입로 108 김해국제공항국내선청사 1F,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),
지사보건진료소,보건진료소,051-970-2980,부산 강서구 과학산단2로20번길 5,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
최치과의원,치과,051-271-2875,부산 강서구 명지새동네길1번길 32,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),
명지튼튼한의원,한의원,051-503-8818,부산 강서구 명지오션시티4로 70,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감",,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","14:00 - 19:00
18:10 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","09:30 - 14:00
13:10 접수마감",정기휴무 (매주 일요일),
신호한의원,한의원,051-941-8275,부산 강서구 신호산단2로 21,"10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",,"10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 15:00
14:30 접수마감",정기휴무 (매주 일요일),
부산교도소부속의원,내과,051-9710-1572,부산 강서구 대저중앙로29번길 62 부산교도소부속의원,,,,,,,,
다온치과의원,치과,051-831-2875,부산 강서구 범방3로46번길 13 3층 다온치과,08:30 - 18:30,08:30 - 18:30,08:30 - 18:30,"08:30 - 18:30
접기",08:30 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),
강동보건지소,보건지소,051-970-4795,부산 강서구 낙동북로102번길 76 강동보건지소,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
대저치과의원,치과,051-971-2875,부산 강서구 대저로 276,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
활인한의원,한의원,051-973-9737,부산 강서구 공항로811번길 43,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
르노코리아자동차부속의원,내과,051-979-9089,부산 강서구 르노삼성대로 61,,,,,,,,
한빛한의원,한의원,051-206-1075,부산 강서구 명지오션시티4로 62 파빌리온빌딩 3층,"09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 19:00
12:30 - 14:00 휴게시간",14:00 - 19:00,"09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
강서요양병원,요양병원,051-941-1002,부산 강서구 공항로811번길 1,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),
삼성전기부속의원,가정의학과,051-970-9123,부산 강서구 녹산산업중로 333,,,,,,,,
천가보건지소,보건지소,051-970-4797,부산 강서구 성북1길 70-1,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
