수,목,토(6/3),금,월,병원이름,병원주소,화,화(6/6),토,일,매일,수(6/7),월(6/5),병원종류,전화번호
"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",김정숙치과의원,부산 사상구 사상로 226 김정숙치과2층,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-326-9858
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 13:00
접기",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",제일한의원,부산 사상구 가야대로 282,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-311-7577
"10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간
접기",,"10:30 - 17:30
13:00 - 14:20 휴게시간","10:30 - 17:30
13:00 - 14:20 휴게시간",신주례부부치과,부산 사상구 백양대로342번길 21 엘지신주례아파트 상가,"10:30 - 17:30
13:00 - 14:20 휴게시간",,10:30 - 13:00,정보없음,,,,치과,051-324-5877
"09:20 - 19:00
13:00 - 14:00 휴게시간","09:20 - 19:00
13:00 - 14:00 휴게시간
접기",,"09:20 - 19:00
13:00 - 14:00 휴게시간","09:20 - 19:00
13:00 - 14:00 휴게시간",자연한의원,부산 사상구 새벽로 166 4층,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-315-1075
,,,,,화인정형외과,부산 사상구 낙동대로 790 서울약국,,,,,,,,정형외과,051-323-8200
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",하나부부치과의원,부산 사상구 가야대로 272,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-312-8275
"10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간",,"10:30 - 19:00
13:30 - 14:30 휴게시간","10:30 - 19:00
13:30 - 14:30 휴게시간",우성한의원,부산 사상구 광장로 22,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,한의원,051-717-3115
,,,,,부산보훈병원신체검사장,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",송제한의원,부산 사상구 낙동대로 751 동일타워 3층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-322-1075
"09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간",,"09:30 - 17:00
12:30 - 13:30 휴게시간","09:30 - 17:00
12:30 - 13:30 휴게시간",주례자연병원,부산 사상구 학장로 325,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,정신건강의학과,051-324-1004
"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",이그린치과의원,부산 사상구 새벽로 166 종합의료센터,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,0507-1487-2886
,,,,,몸편한한의원,부산 사상구 백양대로 893 궁전빌딩,,,,,,,,한의원,051-315-2333
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",부영한의원,부산 사상구 낙동대로1210번길 96,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-317-7536
,,,,,부산광역시노인건강센터,부산 사상구 학감대로39번길 129,,,,,,,,노인전문병원,No phone number available
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",이성록한의원,부산 사상구 대동로 107 명정빌딩 3층 이성록한의원,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,한의원,0507-1399-8575
09:00 - 18:30,"09:00 - 18:30
접기",,09:00 - 18:30,09:00 - 18:30,인화마취통증의학과의원,부산 사상구 엄궁로 91 인화소아과,09:00 - 18:30,,09:00 - 13:00,정보없음,,,,마취통증의학과,051-315-2730
,,,,,사상중앙요양병원,부산 사상구 삼덕로5번길 85 사상중앙병원,,,,,,,,요양병원,No phone number available
"09:30 - 17:30
12:00 - 14:00 휴게시간","09:30 - 15:00
12:00 - 14:00 휴게시간",,"09:30 - 17:30
12:00 - 14:00 휴게시간","09:30 - 17:30
12:00 - 14:00 휴게시간",고려한의원,부산 사상구 사상로 297 황금당,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-301-0384
"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",바른강치과의원,부산 사상구 사상로 325 부산정형외과 2층,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-305-0114
,,,,,길정형외과,부산 사상구 사상로 517,,,,,,,,정형외과,No phone number available
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",김황세외과의원,부산 사상구 괘감로 100-1 가나소주방,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,외과,051-325-2233
"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간
접기",,"08:30 - 17:30
13:00 - 14:00 휴게시간","08:30 - 17:30
13:00 - 14:00 휴게시간",황성윤한의원,부산 사상구 학감대로 124,,현충일08:30 - 13:00,08:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-313-9743
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,박애의원,부산 사상구 사상로 289 박애가정의원,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-302-4433
09:30 - 19:00,14:00 - 20:00,,09:30 - 19:00,09:30 - 19:00,참조은한의원,부산 사상구 사상로 243-1 2층 참조은한의원,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-325-1199
,,,,,의료법인길정의료재단 길정병원,부산 사상구 학감대로39번길 120 길정병원,,,,,,,,"병원,의원",051-320-6451
"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",정기휴무 (매주 목요일),,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",용한의원,부산 사상구 사상로 299 2층 용 한의원,,현충일 휴무,"09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,한의원,051-303-8275
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",최가정의원,부산 사상구 모라로192번길 24 모라3단지 가동 종합상가,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",051-301-5575
"10:00 - 15:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간",,"10:00 - 18:00
12:40 - 14:00 휴게시간","10:00 - 18:00
12:40 - 14:00 휴게시간",학장치과의원,부산 사상구 학감대로 132,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-314-2730
09:30 - 13:30,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",주례치과의원,부산 사상구 가야대로 278-1,,현충일 휴무,09:30 - 13:30,정기휴무 (매주 일요일),,,,치과,051-327-9799
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",송원당한의원,부산 사상구 사상로250번길 14,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-311-2475
09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",김영길한의원,부산 사상구 삼덕로46번길 103,,현충일 휴무,09:00 - 13:00,정보없음,,,,한의원,051-309-0505
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,아동의원,부산 사상구 학감대로49번길 34 구학마을아파트상가 1층,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,"병원,의원",051-323-2236
"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",,"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",하얀이치과의원,부산 사상구 사상로 478 모라약국,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-305-9667
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",박용수치과의원,부산 사상구 백양대로 887,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-327-3036
,,,,,한국병원,부산 사상구 광장로 33,,,,,,,,"병원,의원",No phone number available
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",조세규치과의원,부산 사상구 새벽로 167,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-326-2882
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"10:00 - 20:30
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",김상근치과의원,부산 사상구 백양대로 888 김상근치과,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-862-9911
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",김대영치과의원,부산 사상구 대동로 91,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-324-5355
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간
18:00 - 18:30 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",유플러스치과의원,부산 사상구 가야대로 256 한빛빌딩 5층,,현충일 휴무,정보없음,정기휴무 (매주 일요일),,,,치과,051-208-7928
,,,,,조윤일치과의원,부산 사상구 엄궁북로 21,,,,,,,,치과,051-322-2804
,,,,,미래치과의원,부산 사상구 사상로 295,,,,,,,,치과,051-305-2875
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",엄궁한의원,부산 사상구 엄궁북로 23,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-313-1354
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,드림한의원,부산 사상구 사상로 289-4 정할인마트,,현충일 휴무,09:00 - 15:00,정기휴무 (매주 일요일),,,,한의원,051-305-1075
,,,,,한국건강관리협회 건강증진의원,부산 사상구 학감대로 230 3층,,,,,,,,치과,051-601-9700
,,,,,부산보훈병원재활센터,부산 사상구 백양대로 420 보훈병원,,,,,,,,병원부속시설,No phone number available
"09:30 - 17:00
12:30 - 14:00 휴게시간","09:30 - 17:00
12:30 - 14:00 휴게시간",,"09:30 - 17:00
12:30 - 14:00 휴게시간","09:30 - 17:00
12:30 - 14:00 휴게시간",모라에덴치과의원,부산 사상구 모라로110번길 121,,현충일 휴무,09:30 - 12:30,정기휴무 (매주 일요일),,,,치과,051-304-2828
"09:30 - 18:00
12:00 - 12:30 휴게시간","09:30 - 18:00
12:00 - 12:30 휴게시간",,"09:30 - 18:00
12:00 - 12:30 휴게시간","09:30 - 18:00
12:00 - 12:30 휴게시간",스마일치과의원,부산 사상구 낙동대로 782,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,051-313-3689
"09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",은행나무한의원,부산 사상구 엄궁로203번길 40 송학빌딩,,현충일 휴무,"09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,한의원,051-325-1075
"09:00 - 17:30
12:00 - 13:00 휴게시간","09:00 - 17:30
12:00 - 13:00 휴게시간
접기",,"09:00 - 17:30
12:00 - 13:00 휴게시간","09:00 - 17:30
12:00 - 13:00 휴게시간",사상구보건소 선별진료소,부산 사상구 학감대로 242,,현충일09:00 - 13:00,09:00 - 13:00,09:00 - 13:00,,,,선별진료소,051-310-4791
09:00 - 18:30,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,인덕의원,부산 사상구 덕상로 22,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,"병원,의원",051-305-0355
,,,,,노송의료재단,부산 사상구 백양대로907번길 11,,,,,,,,요양병원,051-317-0081
"10:00 - 18:30
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),,"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",부산유펜치과의원,부산 사상구 대동로 94 학장반도보라타운,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-322-2333
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간
접기",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",경희배한의원,부산 사상구 백양대로 884,,현충일09:30 - 12:30,09:30 - 12:30,09:30 - 12:30,,,,한의원,051-312-0022
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",사상치과의원,부산 사상구 사상로 215 사상치과,,현충일09:00 - 14:00,09:00 - 14:00,정기휴무 (매주 일요일),,,,치과,051-315-2243
"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",월드치과의원,부산 사상구 학감대로 116 월드빌딩,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-315-2355
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,북부의원,부산 사상구 사상로367번길 35,09:00 - 18:00,,09:00 - 13:00,정보없음,,,,"병원,의원",051-303-2250
"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간",화목한의원,부산 사상구 백양대로 905 세브란스소아과의원,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-311-3135
,,,,,편한의원,부산 사상구 덕상로 7,,,,,,,,가정의학과,No phone number available
"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간
접기",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",좋은삼선병원 스포츠운동치료센터,부산 사상구 가야대로 326,"09:00 - 17:00
12:30 - 13:30 휴게시간",,09:00 - 13:00,정보없음,,,,병원부속시설,051-310-9535
,,,,,이재화치과의원,부산 사상구 대동로 94,,,,,,,,치과,No phone number available
,,,,,동인요양병원 원무과,부산 사상구 엄궁동 569-1,,,,,,,,요양병원,051-329-9008
09:30 - 12:00,09:30 - 17:30,,정기휴무 (매주 금요일),09:30 - 17:30,부영치과의원,부산 사상구 학감대로123번길 76 부영병원,,현충일 휴무,09:30 - 12:00,정기휴무 (매주 일요일),,,,치과,051-320-6875
"10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간",,"10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간",무림한의원,부산 사상구 학감대로 105 명진빌딩,"10:00 - 18:00
12:00 - 13:30 휴게시간",,정보없음,정보없음,,,,한의원,051-313-7575
"10:00 - 18:00
13:00 - 14:30 휴게시간","10:00 - 18:00
13:00 - 14:30 휴게시간",,"10:00 - 18:00
13:00 - 14:30 휴게시간","10:00 - 18:00
13:00 - 14:30 휴게시간",박찬석치과의원,부산 사상구 엄궁북로 2,,현충일 휴무,10:00 - 12:30,정기휴무 (매주 일요일),,,,치과,051-323-6596
,,,,,용운선원요양병원,부산 사상구 덕상로 116-38,,,,,,,,요양병원,No phone number available
,,,,,새한빛병원,부산 사상구 가야대로 256,,,,,,,,"병원,의원",No phone number available
,,,,,좋은부산요양병원별관,부산 사상구 학감대로39번길 67 좋은부산요양병원,,,,,,,,병원부속시설,No phone number available
,,,,,부산보훈병원재활체육관,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
,,,,,연세시병원,부산 사상구 사상로 174,,,,,,,,"병원,의원",No phone number available
,,,,,현백요양병원,부산 사상구 사상로 280,,,,,,,,요양병원,No phone number available
,,,,,엄궁유일병원,부산 사상구 낙동대로 792,,,,,,,,"병원,의원",No phone number available
08:30 - 17:30,08:30 - 17:30,,08:30 - 17:30,08:30 - 17:30,부산보훈병원 선별진료소,부산 사상구 백양대로 420,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,선별진료소,051-601-6000
10:30 - 18:00,10:30 - 18:00,,정기휴무 (매주 금요일),10:30 - 18:00,정선한의원,부산 사상구 모라로110번길 85 모라영구임대아파트,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,한의원,051-304-3819
,,,,,부산보훈병원동관동,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
,,,,,다남한의원,부산 사상구 사상로 289-4,,,,,,,,한의원,051-305-1074
,,,,,부산보훈병원별관동,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
09:00 - 16:00,09:00 - 16:00,,09:00 - 16:00,09:00 - 16:00,좋은삼선병원 선별진료소,부산 사상구 가야대로 326,,현충일 휴무,09:00 - 12:00,정기휴무 (매주 일요일),,,,선별진료소,051-310-9205
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",모라중앙치과의원,부산 사상구 백양대로 884 우신모라아파트,,현충일 휴무,09:30 - 12:30,정기휴무 (매주 일요일),,,,치과,No phone number available
,,,,,부산보훈병원본관동,부산 사상구 백양대로 420,,,,,,,,병원부속시설,No phone number available
,,,,,좋은삼선병원 인공신장센터,부산 사상구 가야대로 326 좋은삼선병원,,,,,,,,병원부속시설,No phone number available
"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",미래여성병원,부산 부산진구 가야대로 459 미래여성병원,"09:00 - 17:00
13:00 - 14:00 휴게시간",,09:05 - 13:00,10:00 - 13:00,,,,산부인과,051-890-9999
"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간",,08:30 - 12:30,"08:30 - 17:30
12:30 - 13:30 휴게시간",삼육부산병원,부산 서구 대티로 170,,현충일 휴무,정기휴무 (매주 토요일),"08:30 - 17:30
12:30 - 13:30 휴게시간",,,,종합병원,1566-3675
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",열린이비인후과의원,부산 북구 백양대로 1202 4층 열린이비인후과,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-334-8899
,,,,,미래로병원,부산 북구 금곡대로 15,,,,,,,,산부인과,051-330-5000
"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",선내과의원,부산 부산진구 냉정로 215,,현충일 휴무,08:30 - 12:00,정기휴무 (매주 일요일),,,,내과,051-898-2233
"09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간
접기",,"09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간",미래연합소아청소년과의원,"부산 부산진구 가야대로 460 2,6,7,8층",,현충일09:00 - 13:00,09:00 - 13:00,09:00 - 13:00,,,,소아청소년과,051-890-7520
,,,,,큐병원,부산 사하구 낙동남로 1401,,,,,,,,"병원,의원",051-207-4343
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",올리브피부과의원,부산 북구 만덕대로27번길 3 세빈빌딩 6층,,현충일 휴무,09:30 - 14:30,정기휴무 (매주 일요일),,,,피부과,0507-1406-3344
"10:00 - 19:30
13:00 - 14:00 휴게시간","10:00 - 19:30
13:00 - 14:00 휴게시간",,"10:00 - 19:30
13:00 - 14:00 휴게시간","10:00 - 19:30
13:00 - 14:00 휴게시간",피브엔의원,부산 부산진구 가야대로 494 대도빌딩 5층,,현충일 휴무,09:00 - 15:00,정기휴무 (매주 일요일),,,,피부과,051-892-0005
"08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간",,"08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간",인제대학교부산백병원,부산 부산진구 복지로 75,"08:00 - 17:00
12:00 - 13:30 휴게시간",,08:00 - 12:00,정기휴무 (매주 일요일),,,,종합병원,051-890-6114
,,,,,윤종주정형외과 조현정내과의원,부산 사하구 낙동남로 1417 락희빌딩 3층(내과) 4층(정형외과),,,,,,,,정형외과,051-714-7105
